request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Full payment is safe today and keeps balance above minimum.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Full payment is safe today and keeps balance above minimum.
request_28,689.36,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,Full payment is safe today and keeps balance above minimum.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.20,2026-04-06,none,Full payment is safe today and keeps balance above minimum.
request_31,13840359.99,affordable_later,wait,none,2024-09-15,none,Full payment becomes safe on earliest_full_payment_date.
request_32,33305.39,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_33,65179.44,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Full payment is safe today and keeps balance above minimum.
request_35,125129.36,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_36,1446.07,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_37,12068799.21,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_38,378.47,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_39,203104.58,affordable_later,wait,none,2026-04-15,none,Full payment becomes safe on earliest_full_payment_date.
request_40,850.54,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_41,21888949.95,affordable_later,wait,none,2025-11-15,none,Full payment becomes safe on earliest_full_payment_date.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,Full payment is safe today and keeps balance above minimum.
request_43,13988749.87,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_44,74559.43,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_45,8833099.74,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_46,49450.0,affordable_now,full_payment,2024-12-03:49450.00,2024-12-03,none,Full payment is safe today and keeps balance above minimum.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,Full payment is safe today and keeps balance above minimum.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,Full payment is safe today and keeps balance above minimum.
request_49,20228792.99,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,Full payment is safe today and keeps balance above minimum.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Full payment is safe today and keeps balance above minimum.
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.00,2024-06-05,none,Full payment is safe today and keeps balance above minimum.
request_53,1422.91,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_54,16580.85,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_55,176240.75,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Full payment is safe today and keeps balance above minimum.
request_57,21213.95,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,Full payment is safe today and keeps balance above minimum.
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600.00,2025-05-04,none,Full payment is safe today and keeps balance above minimum.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Full payment is safe today and keeps balance above minimum.
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062.00,2024-03-03,none,Full payment is safe today and keeps balance above minimum.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment is safe today and keeps balance above minimum.
request_63,90144.79,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_64,60232.93,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
request_65,13023.66,not_affordable,not_recommended,none,,none,Not affordable within 90 days. No safe plan found.
